"sub_count","total_views"
973,68321
2760000,586313793
31800,4405583
825,195691
7600,729699
92900000,27345012110
1520000,515545835
607000,313741831
69500,11390687
177000,34815969
4040,495226
109000,18090358
5090,251970
1810,81076
221000,145782046
4050000,2637886026
49300,4259096
39800,983511
41500,5944142
7650,1415695
1050,126968
338000,81330397
522000,93398471
352,43108
855000,94369521
124000,28694614
6190000,3631566504
20800,4607101
3540000,653136828
71900,4458393
350000,42971537
7950000,6387705994
71000,15194249
20200,3619298
83900,13247351
322000,27958747
648000,28361460
11400000,2833718910
3550,483442
7390,1657969
9980,3559014
10500,3723326
735000,350389942
68200,12147207
3080,850394
4140000,1353281325
1870,319433
304000,281994262
5400,149621
2040000,517349353
315000,113489921
1220000,260407384
133000,9806395
247000,1304881
4450000,1289327484
231000,26951510
17500000,4769616712
704000,96293948
12100,2695222
113000,4366018
1370000,281737778
1160,79613
215000,34055796
15400,388352
185,1848
535000,121692639
41,1873
560000,186146603
1450000,1007438366
203,49824
46800,1611503
8100,948797
702000,62926145
652000,102844838
20800,3552751
12800,4612784
14300,2118137
10600000,3523669914
40900,4075351
118000,26924316
1290000,1164040339
202000,58332394
441000,128248856
64500,11377398
28500,14371364
2320000,1057728953
777000,136943129
4370000,1650608571
15300,1819925
16500,2155773
5070,336127
29300,2177284
124000,22960582
484000,159640275
1230000,176207353
2480000,475330779
3810,184065
3170,251084
35100,5984227
1160,35517
42300,7259562
573000,146327478
62100,7699362
77300,18835504
199000,38857712
83700,20942449
128000,58749721
312000,81516528
75800,14362716
12100000,6231210963
179000,29569020
93500,15257627
27400,2935875
6680,1293883
22700,13180738
38600,13652763
1100000,788853768
264000,58105228
20700,1600000
229000,28412743
5350,868040
24800,8838410
49400,10246629
374000,41009397
579000,151394045
572000,156371940
6310,5915495
89000,15635577
52500,14653316
10800,675403
100000,28068309
3030,823497
2320000,3281743087
16800,10436091
56100,9683416
69700,36574049
54000,22105511
149000,32721750
10400,516969
25900000,25923884401
1390000,620477443
176000,28241472
577000,575503008
1980000,387941406
1380000,204962310
8510,4474675
7650000,1286871720
17000000,7615382504
88100,17175954
4480000,1500235154
177000,29452051
3840000,2873898392
2090000,1433501975
2490000,2296272395
1330000,407897645
238000,44140774
7800,1992818
103000,12487611
786000,112895409
635,67093
512000,273409694
109000,8985054
4210000,2129718485
1190,184573
1870,105646
34000,9756985
3440000,1032295277
3110,664211
165000,98558598
119000,45756136
91500,13679107
169000,9727672
38100,4027889
20200000,5999865714
1200000,1032941752
23200,5334591
46500,30183929
7870000,4118365928
2390,132281
1040000,723248128
359000,27342059
6160,651577
1790000,352954786
40900,1684232
15400000,4992299413
2010000,906549465
39700,6301279
1360,141823
1200000,826308851
317000,69836364
484000,83615023
666000,147677218
341000,33158334
17900000,16863865739
485000,219329908
1410,117868
18600,2554509
3510,655285
924,91253
364000,192292977
490000,84582043
100000,3567308
8960000,3360545047
308000,215599577
186000,43682987
154000,19096823
27400,4060972
2670000,1979340456
1010,211375
76000,15041526
2210,213587
9480000,1835479547
33400,11777092
1110000,618266913
451,42770
719,38268
705000,501822504
9540,3294953
498000,81503125
36500,6257670
231000,26768595
1060000,124494339
305000,13955842
7670,1011582
28500,6992473
85600,7248905
1530000,706890006
5720,243752
133000,66867560
13800,1383834
325000,50538779
20500,2563646
1780,1789590
35200,16259322
2080000,359944775
5320,628043
14500,1953926
48600,2795569
47900,7517509
25400,2077796
16400,4646127
23400,1207670
689000,150248032
6940,855068
1200000,51090128
4350,441478
3830000,998705895
1290,473895
44800,4262909
18,1574
374000,175995415
10000,1445467
78200,7015062
1120000,94782485
1130000,414775115
2590000,1294289383
476000,366059334
72700,14562528
68500,1816287
102000,17961053
8980,1671338
2940000,498902780
85600,17190846
5430,1598910
1810000,1469387782
1950000,192106826
199000,40255039
3550,480589
1900000,18427458
279,7480
4850000,1047704000
1330000,354042919
9100000,2263409422
1340,180499
4380,889312
917,56263
8650,2930763
181000,27874287
386000,169014598
824000,351488081
256000,53782937
9230000,10509303114
22400000,34871197675
23800,3240975
181000,485711
4020000,1471328359
461000,251030206
2080,472752
125000,29374488
500000,115266749
101000,12978661
37,3727
2300000,1517386964
1980000,374864102
5320000,4542890916
2200000,495330344
316000,55041561
14400,2422891
194000,24415606
1580000,428797101
215000,16765619
739000,288758935
2010,1841287
7760,635610
2640000,265444244
363000,122436927
679000,87740720
438000,113374115
100000,2912070
9810,1337855
237,38782
10400000,467338883
253000,40882338
28800,1758022
55100,8422181
32700,6157869
852,145778
1470000,249218314
950000,290462085
21100,5331380
12100,191028
1330,394008
224000,67180443
54,459
1810,683050
3610000,322185642
2030,267714
326,45326
333000,41861675
12100000,4266407951
1280000,160757654
14000,1856273
83000,17324116
310000,69605400
222,48502
209000,43193118
38600,4339731
300000,60819378
10600,1616561
158000,22902374
158000,51260045
12900,5658307
175000,45109381
235000,77051708
8310,3840788
14200000,5874697993
9700,4848285
57200,5312033
95900,13152837
9120000,2420994975
519000,141255791
1490000,406116882
8580,1125825
696000,249719046
2760,524635
20600000,2612531860
14500,3654384
2950000,1195430483
29700,12369627
7650,1225995
10400,4599397
183000,86299841
13000000,7227863752
13100,2533949
1370000,227740074
359000,257713203
2300000,1190513802
36900,1622271
10700000,3784094855
54600,16580263
156000,33324142
10000,1077693
6060,605469
3820,142913
922,50078
31400,18538454
94100,16954584
107000,17113656
194000,69244555
58900,5622137
612000,239907357
68900,9459858
766,23146
2540,190728
519000,125279132
2140000,1305321775
13600000,7690414954
20200000,6336476875
429000,74465927
14100,2314271
5590,420046
490000,43682988
4530,801532
89700,16892969
1030000,790699230
40900,5822579
14300,2764401
333000,130657821
94200,3365738
10800,3544222
6620000,3168658586
831000,451675004
661000,201966509
39100,3978545
62300,15027690
239000,56490751
408000,34686893
77100,2048072
9200,2319659
90500,57047837
186000,29726329
215000,93818465
2350,93816
955000,257523366
4590,830552
25400,8912721
2290,599112
3500,802750
2810000,1188706238
763,31450
341000,117242847
23300,3943151
678000,351328183
1180,41847
333000,27235513
17100,1599031
9120,871144
63800,46850273
792000,506999580
32600,5249208
2710,676791
10600000,2321392173
1220,336917
37500,3260150
65500,9856485
38400,4626433
1290000,601659244
228000,40633680
1290,109722
1140,35428
3680000,1279691686
1000000,535515529
1220,138302
31900,6375491
11000,1532326
24200,6007971
113000,14187255
66700,3664000
69400,8976055
399000,93398089
1410000,536607511
12600,4393055
378000,74611692
540,30424
15800,2385220
53100,9221190
107000,12162517
68000,3449283
41000,10681121
183000,37220747
383000,156442950
3630,451015
6130,438326
25600,6640991
121000,8499458
6910000,1871102368
226000,58315297
7060,1288369
57600,35483889
91900,14471876
29900000,27509024513
857000,550385401
313000,130881733
2120000,1940422420
39100,6004586
627000,92692894
859,84286
14600000,12220994640
5970,1071453
38800,2236090
17700,2530131
124000,11726512
25000,2565419
355000,236685914
654000,592895337
51300,10657243
1260,245913
48000,6943942
333000,108941974
14200,4939186
280000,111087385
122000,67059207
320,50560
286000,53469074
1450,195802
243000,32993707
16200,3224282
834,146338
150,2089
2460,387675
7030,1929545
7940,1797207
14500,4816668
77600,44894266
789000,523828466
75800,9652152
6550,3154814
225000,43584988
3840,431495
2090000,559474760
5600000,3863187939
129000,5436861
221000,43208195
7650,1510855
8500000,1912771975
10100000,11230831671
727000,414233664
2760,292374
3750000,594068506
12300,1439284
402000,69171925
5470,717552
112000,36892002
560000,147696837
20000,3480611
28300,12304013
11500,6883506
6130,764010
595000,159670841
2840,181387
14900,2199600
3840000,1150914932
531000,110347788
408000,97327200
5170000,3847193131
2130,305388
2480,309084
3470000,1294931674
317000,115928819
88200,34661345
546000,200519740
272000,63376952
12800000,4722810370
1680,358042
149000,62400450
35,1318
36400,19088240
39000,7090857
154000,18088005
4100000,1340833305
10100,2124501
35700,10662107
112000,24913624
315000,102490030
69700,4593424
71500,6115945
545000,425341028
536000,59347321
28600,9044372
3160,333073
2720000,1180369223
22700,4706812
6230,537401
73900,9009292
36100,6329451
559000,214676503
2180,213887
95800,12120736
77900,30276211
322000,37967493
50900,12609908
6430,1215457
90700,18665327
999000,498949378
163000,89984425
19000,3762351
10700,1309475
266000,64004914
10400000,6740963721
2340000,2022883817
33300,9442560
1060000,222338362
44900,7391062
2310000,1427857108
1000000,204256292
33800,4713918
30100,19174707
19900,2952601
397000,127866267
7130,2021944
1120000,390714200
2290,673308
645000,213100104
336,54936
3710,378985
61300,7958291
20400000,533576524
280000,110996438
8310000,1911725872
2560000,224177109
17300000,12463310689
8120,1107704
5720000,713314117
41800,3315754
1680000,1176753417
25100,10439397
16600,2167012
6340000,4646210917
11300,1672621
7130000,3511026834
3860,596127
15400,2867097
1020,98838
2830000,724699205
344000,37499132
53700,8196703
4100,695715
326000,81067270
117000,20185243
5400000,1326259189
46400,6658146
22500,1285561
23900,4894404
21100,7385235
4690,817703
2040,178348
975000,176693788
390,81085
5790,1225323
432000,139151605
21500,3320223
132000,22350730
20700,12750373
542000,341405746
1400000,529843538
13400000,1479742581
5200000,1188453535
126000,26146771
10500,1371562
1270000,486143580
315000,95913446
25700,603463
3450000,550318940
1250,152141
64100,5579828
21200,959877
1640000,1405606866
4160,728638
7290,1418054
42900,1327404
207000,31901795
95600,4848163
262000,22234754
77600,15809777
898000,42861711
77100,21629530
15600,6955288
385,36213
8240000,3113155100
821000,648115612
596000,176462326
99100,22923687
47000,4973697
151000,7897144
260000,21593225
243000,16490997
24400000,7387200213
6190,438012
170000,81383009
461,21198
1730,152612
28700,5102122
5040000,278193183
706000,402682359
1230000,783194571
25600,1754709
259000,45146628
210000,14584321
19800,3554927
155000,32514465
14600,2261901
29900,12001746
27000,19379368
125000,6436200
144000,22865456
684000,302035172
2070,40321
9090,529966
3860000,1638222456
152000,62392906
140000,74879976
3360000,3451663127
5960000,3564451583
235000,115256679
139,6919
48600,6434355
276000,18250180
383000,107194246
138000,33770525
3780000,862572591
224000,30770815
648000,179266136
582,31233
1350000,47006799
176000,37989490
44500,10883549
203000,57282552
31800,8580846
16600,2475021
5650,1484463
28500,4629480
473000,263683354
36300,2368945
230000,24786800
777000,553474228
71300,30739312
10600,1469893
119000,36633854
3950000,1902172417
629,124645
4360,323706
288,3915
49800,6541534
22200,9613093
391,40310
232000,78537551
373,26868
2850000,286073268
13700000,1797666843
2870000,1285126146
6520000,981207750
87400,7953110
109000,16839463
1080,9569
2830,23373
61300,10642404
123000,15733280
2980,194456
522000,34328411
761000,303176957
4300,717446
41200,6535850
1290000,323045205
177000,33330381
343000,60181506
3750000,2062561725
11200,2590281
6590,351798
12600,2865602
2700000,1098260310
625,13837
261,18669
9190,4015762
56400,4489139
225000,51916553
7050000,6415610734
169000,25086858
13300,1682944
290000,24670420
42900,3554864
1700000,711446854
2960000,625527775
1260,146167
192000,11030332
98600,16081675
51600,6043685
7240,993182
593000,511938537
4790,337790
13100,1779289
66,5115
38000,6707774
53700,21153340
45700,9865366
65900,17196958
9470,1249625
15800,2043157
86700,639987
1970000,609824447
5370,1012795
1370,212076
47400,11814542
54100,5393488
36700,36420847
21100,5226004
2470,272433
116000,35020123
705,46708
16900,1422473
1720000,337522954
3770000,1247663795
273000,24473032
1350000,807840141
32600,3633466
1110000,288785520
720000,79158268
744000,176194420
390000,170399248
353000,85162132
939,129924
8840000,3627320052
654000,139249357
104,10262
413,48008
239000,269878901
332000,65803452
117000000,98509121645
299000,79027266
883000,171067222
49200,5568295
33000,6280841
76500,15467230
314000,126500784
8590000,6594997320
2140,290115
2020000,855898091
1960000,1324667072
524,15666
37400,10346380
129000,20343713
11500000,6003810091
6090000,1768565514
45600000,26869794648
72100,25827798
315000,27361428
1,0
9980000,3448103479
127000,4419595
882000,142198536
440000,480193143
52,1004
171000,46466132
1150000,705420892
360000,35199973
149000,16107044
1510,33045
979000,591919219
29200,4185674
774000,265769001
276000,44140982
125,23770
1140000,333091521
44200,10193890
888000,145425414
527,12836
8540,2645924
8540,949037
12300,5659530
5320000,2107699945
129000,22798844
63600,12683064
1330000,349102663
8860000,6348145431
4950,1822594
18400,4646163
1390000,202278518
51900,8043886
69400,19737487
452000,31933741
45,2579
863,21887
297,148691
2200,224252
15700,1356653
81,1569
37400,4344058
52800,15794058
280000,56456955
9480000,6735500244
3540000,976933100
923000,112175692
50,1925
266,26490
62700,3052696
50600,13449922
10400,1718035
37000,1614729
85300,15014288
656000,158442344
366,19080
511000,381627256
907,279816
1280,47286
726000,331845709
1720,503050
5530000,1654736052
6540,2088123
44500000,10932118290
2800000,2799555075
2950000,316145603
48000,3805315
486000,59197891
684000,183060038
650000,460635107
830000,156000418
53600,5148876
309,21511
3240,411094
676000,110630147
14800,3218184
2570000,327863687
75500,14964283
301,16337
195000,36644149
11900,2380219
7560000,3208116629
5560000,2941603625
5710,942611
53700,9617789
2990000,753286248
4010,182869
5070000,637530119
17200,5194865
1100,178132
409000,23544265
5530,812963
30100,4574941
1460,25042
102000,13977205
190000,20773720
8670000,4687623346
41000,2107701
4350000,960689151
